LogID,LogEvent,LogClass,LogDate,AccountID,BookingIDInserted,BookingIDEdited,BookingIDDeleted,AccountIDDeleted,AccountIDCreated
188,Edit,BookingHandler,2015-06-24 10:24:35.037000000,11,-1,-1,-1,-1,-1
189,Complete,BookingHandler,2015-06-24 12:10:40.167000000,10,-1,1551,-1,-1,-1
190,Complete,BookingHandler,2015-06-24 12:10:40.167000000,10,-1,1435,-1,-1,-1
191,Complete,BookingHandler,2015-06-24 12:10:40.167000000,10,-1,1553,-1,-1,-1
192,Login,LoginHandler,2015-06-24 13:11:48.380000000,1,-1,-1,-1,-1,1
193,Add Account,AccountHandler,2015-06-24 13:12:47.897000000,1,-1,-1,-1,-1,14
194,Login,LoginHandler,2015-06-24 13:17:14.840000000,1,-1,-1,-1,-1,1
195,Remove Account,AccountHandler,2015-06-24 13:17:19.247000000,1,-1,-1,-1,14,-1
196,Load Accounts,AccountHandler,2015-06-24 13:17:20.507000000,1,-1,-1,-1,-1,-1
197,View Activity,AccountHandler,2015-06-24 13:17:22.013000000,1,-1,-1,-1,-1,-1
198,Add,BookingHandler,2015-06-24 13:17:41.787000000,1,1554,-1,-1,-1,-1
199,Load,BookingHandler,2015-06-24 13:18:04.417000000,1,-1,-1,-1,-1,-1
200,Load,BookingHandler,2015-06-24 13:18:25.270000000,1,-1,-1,-1,-1,-1
201,Login,LoginHandler,2015-06-24 13:24:19.747000000,10,-1,-1,-1,-1,10
202,Login,LoginHandler,2015-06-24 13:34:34.553000000,11,-1,-1,-1,-1,11
203,Remove Account,AccountHandler,2015-06-24 13:35:02.427000000,11,-1,-1,-1,-1,-1
204,Remove Account,AccountHandler,2015-06-24 13:35:07.243000000,11,-1,-1,-1,-1,-1
205,View Activity,AccountHandler,2015-06-24 13:35:11.300000000,11,-1,-1,-1,-1,-1
206,Login,LoginHandler,2015-06-24 13:35:24.380000000,12,-1,-1,-1,-1,12
207,Login,LoginHandler,2015-06-24 13:36:26.960000000,12,-1,-1,-1,-1,12
208,Today's,BookingHandler,2015-06-24 13:36:46.147000000,12,-1,-1,-1,-1,-1
209,View Activity,AccountHandler,2015-06-24 13:37:06.930000000,12,-1,-1,-1,-1,-1
210,View Activity,AccountHandler,2015-06-24 13:37:10.810000000,12,-1,-1,-1,-1,-1
211,View Activity,AccountHandler,2015-06-24 13:37:13.513000000,12,-1,-1,-1,-1,-1
212,View Activity,AccountHandler,2015-06-24 13:37:15.767000000,12,-1,-1,-1,-1,-1
213,View Activity,AccountHandler,2015-06-24 13:37:19.837000000,12,-1,-1,-1,-1,-1
214,View Activity,AccountHandler,2015-06-24 13:37:23.750000000,12,-1,-1,-1,-1,-1
215,View Activity,AccountHandler,2015-06-24 13:37:27.327000000,12,-1,-1,-1,-1,-1
216,Login,LoginHandler,2015-06-24 13:41:00.597000000,12,-1,-1,-1,-1,12
217,Load,BookingHandler,2015-06-24 13:41:02.980000000,12,-1,-1,-1,-1,-1
218,Today's,BookingHandler,2015-06-24 13:41:06.190000000,12,-1,-1,-1,-1,-1
219,Load,BookingHandler,2015-06-24 13:41:17.960000000,12,-1,-1,-1,-1,-1
220,Login,LoginHandler,2015-06-24 13:45:38.273000000,10,-1,-1,-1,-1,10
221,Complete,BookingHandler,2015-06-24 14:37:19.700000000,10,-1,1437,-1,-1,-1
222,Edit,BookingHandler,2015-06-24 15:10:34.547000000,10,-1,1554,-1,-1,-1
223,Load,BookingHandler,2015-06-24 15:10:43.420000000,10,-1,-1,-1,-1,-1
224,Add,BookingHandler,2015-06-24 16:17:23.600000000,10,1555,-1,-1,-1,-1
225,Add,BookingHandler,2015-06-24 16:18:19.313000000,10,1556,-1,-1,-1,-1
226,Complete,BookingHandler,2015-06-24 16:22:03.243000000,10,-1,1433,-1,-1,-1
227,Complete,BookingHandler,2015-06-24 16:22:03.243000000,10,-1,1554,-1,-1,-1
228,Complete,BookingHandler,2015-06-24 16:22:03.243000000,10,-1,1438,-1,-1,-1
229,View Activity,AccountHandler,2015-06-24 16:22:07.837000000,10,-1,-1,-1,-1,-1
230,Login,LoginHandler,2015-06-25 08:26:30.940000000,1,-1,-1,-1,-1,1
231,Login,LoginHandler,2015-06-25 08:26:48.937000000,10,-1,-1,-1,-1,10
232,Login,LoginHandler,2015-06-25 08:30:31.433000000,12,-1,-1,-1,-1,12
233,Load,BookingHandler,2015-06-25 08:30:33.277000000,12,-1,-1,-1,-1,-1
234,Today's,BookingHandler,2015-06-25 08:30:34.850000000,12,-1,-1,-1,-1,-1
235,Login,LoginHandler,2015-06-25 08:59:09.540000000,1,-1,-1,-1,-1,1
236,Login,LoginHandler,2015-06-25 08:59:56.880000000,1,-1,-1,-1,-1,1
237,Load,BookingHandler,2015-06-25 09:04:37.697000000,1,-1,-1,-1,-1,-1
238,Load,BookingHandler,2015-06-25 09:04:44.970000000,1,-1,-1,-1,-1,-1
239,Load,BookingHandler,2015-06-25 09:04:55.217000000,1,-1,-1,-1,-1,-1
240,Load,BookingHandler,2015-06-25 09:04:58.367000000,1,-1,-1,-1,-1,-1
241,Load,BookingHandler,2015-06-25 09:05:12.223000000,1,-1,-1,-1,-1,-1
242,Load,BookingHandler,2015-06-25 09:05:12.533000000,1,-1,-1,-1,-1,-1
243,Load,BookingHandler,2015-06-25 09:05:12.750000000,1,-1,-1,-1,-1,-1
244,Load,BookingHandler,2015-06-25 09:05:12.997000000,1,-1,-1,-1,-1,-1
245,Load,BookingHandler,2015-06-25 09:05:13.153000000,1,-1,-1,-1,-1,-1
246,Load,BookingHandler,2015-06-25 09:05:13.320000000,1,-1,-1,-1,-1,-1
247,Load,BookingHandler,2015-06-25 09:05:13.593000000,1,-1,-1,-1,-1,-1
248,Load,BookingHandler,2015-06-25 09:05:14.327000000,1,-1,-1,-1,-1,-1
